SampleID,rBC,fBC,SeqBatch,StudyID,DNAplate,DNAwell,SampleType,Site,Date,WOY,HostSpecies
bri160715,SB704,SA506,1.2,bri16,28,F04,sample,ELY,7/27/16,31,MYLU
bri160716,SB705,SA506,1.2,bri16,28,F05,sample,ELY,7/27/16,31,MYLE
bri160717,SB707,SA506,1.2,bri16,28,F07,sample,ELY,7/27/16,31,EPFU
bri160718,SB708,SA506,1.2,bri16,28,F08,sample,ELY,7/27/16,31,EPFU
bri160719,SB709,SA506,1.2,bri16,28,F09,sample,ELY,7/27/16,31,EPFU
bri160720,SB710,SA506,1.2,bri16,28,F10,sample,ELY,7/27/16,31,EPFU
bri160721,SB711,SA506,1.2,bri16,28,F11,sample,ELY,7/19/16,30,EPFU
bri160722,SB712,SA506,1.2,bri16,28,F12,sample,ELY,7/19/16,30,EPFU
bri160723,SB701,SA507,1.2,bri16,28,G01,sample,ELY,7/19/16,30,MYLU
bri160724,SB702,SA507,1.2,bri16,28,G02,sample,ELY,7/23/16,30,EPFU
bri160725,SB703,SA507,1.2,bri16,28,G03,sample,ELY,7/23/16,30,MYLU
bri160726,SB704,SA507,1.2,bri16,28,G04,sample,ELY,7/23/16,30,EPFU
bri160727,SB705,SA507,1.2,bri16,28,G05,sample,ELY,7/23/16,30,EPFU
bri160728,SB706,SA507,1.2,bri16,28,G06,sample,ELY,7/23/16,30,MYLE
bri160729,SB708,SA507,1.2,bri16,28,G08,sample,ELY,7/23/16,30,EPFU
bri160751,SB701,SB507,7.2,bri16,45,G01,sample,ELY,9/27/2016,40,MYLU
cpr160082,SA701,SA508,5.1,cpr16,17,H01,sample,KNX,5/9/16,20,MYSO
cpr160084,SA703,SA508,5.1,cpr16,17,H03,sample,KNX,5/9/16,20,MYSO
