Order,Family,Genus,Species
Hemiptera,Pentatomidae,Antheminia,lunulata
Lepidoptera,Saturniidae,Antheraea,NA
Hymenoptera,Megachilidae,Anthidium,manicatum
Diptera,Anthomyiidae,NA,NA
Diptera,Anthomyzidae,NA,NA
Coleoptera,Curculionidae,NA,NA
Coleoptera,Curculionidae,Anthonomus,alboscutellatus
Coleoptera,Curculionidae,Anthonomus,grandis
Coleoptera,Curculionidae,Anthonomus,koenigi
Coleoptera,Curculionidae,Anthonomus,melanostictus
Coleoptera,Curculionidae,Anthonomus,pomorum
Coleoptera,Curculionidae,Anthonomus,rubi
Coleoptera,Curculionidae,Anthonomus,sisyphus
Coleoptera,Curculionidae,Anthonomus,NA
Hymenoptera,Apidae,Anthophora,NA
Coleoptera,Anthribidae,NA,NA
Hemiptera,Membracidae,Antianthe,NA
Lepidoptera,Erebidae,Antichloris,NA
Lepidoptera,Erebidae,Antichloris,viridis
Hemiptera,Rhyparochromidae,Antillocoris,NA
Hemiptera,Pentatomidae,Antiteuchus,costaricensis
Hemiptera,Pentatomidae,Antiteuchus,innocens
Hemiptera,Pentatomidae,Antiteuchus,NA
Hemiptera,Pentatomidae,Antiteuchus,tripterus
Hemiptera,Pseudococcidae,Antonina,NA
Lepidoptera,Erebidae,Anycles,anthracina
Lepidoptera,Erebidae,Anycles,NA
Lepidoptera,Pyralidae,Anypsipyla,univitella
Hemiptera,Diaspididae,Aonidia,lauri
Hemiptera,Diaspididae,Aonidia,NA
Hemiptera,Diaspididae,Aonidiella,comperei
Hemiptera,Diaspididae,Aonidiella,inornata
Hemiptera,Diaspididae,Aonidiella,messengeri
Hemiptera,Diaspididae,Aonidiella,NA
Hemiptera,Diaspididae,Aonidomytilus,NA
Hemiptera,Miridae,Apachemiris,vigilax
Lepidoptera,Noctuidae,Apamea,monoglypha
Lepidoptera,Noctuidae,Apamea,NA
Lepidoptera,Erebidae,Apantesis,proxima
Lepidoptera,Erebidae,Apantesis,NA
Coleoptera,Bostrichidae,Apate,indistincta
Coleoptera,Bostrichidae,Apate,monachus
Coleoptera,Bostrichidae,Apate,NA
Hemiptera,Aphalaridae,Aphalara,calthae
Hemiptera,Aphalaridae,Aphalara,NA
Hemiptera,Aphalaridae,NA,NA
Hemiptera,Psyllidae,NA,NA
Hemiptera,Psyllidae,Aphalaroida,NA
Hemiptera,Rhyparochromidae,Aphanus,rolandri
Hemiptera,Aphididae,NA,NA
Hemiptera,Aphididae,Aphis,affinis
Hemiptera,Aphididae,Aphis,eugeniae
Hemiptera,Aphididae,Aphis,intybi
Hemiptera,Aphididae,Aphis,NA
Hemiptera,Cicadellidae,Aphrodes,makarovi
Hemiptera,Cicadellidae,Aphrodes,NA
Hemiptera,Aphrophoridae,Aphrophora,NA
Hemiptera,Aphrophoridae,NA,NA
Coleoptera,Chrysomelidae,Aphthona,euphorbiae
Coleoptera,Chrysomelidae,Aphthona,NA
Hymenoptera,Apidae,NA,NA
Coleoptera,Curculionidae,Apinocis,saccharidis
Coleoptera,Curculionidae,Apinocis,NA
Coleoptera,Apionidae,Apion,aurichalceum
Coleoptera,Apionidae,Apion,frumentarium
Coleoptera,Apionidae,Apion,godmani
Coleoptera,Apionidae,Apion,ignotum
Coleoptera,Apionidae,Apion,NA
Coleoptera,Apionidae,NA,NA
Hymenoptera,Apidae,Apis,cerana
Hymenoptera,Apidae,Apis,mellifera
Hymenoptera,Apidae,Apis,NA
