windowA,windowB,pvalue,BHadjusted_pvalue,Metric,Windowgroup
4MAP,6CNA,0.001,0.015,PD,window456
4MAP,6EPS,0.048,0.154,PD,window456
4MAP,6FOX,0.338,0.542,PD,window456
4MAP,6HOL,0,0,PD,window456
4MAP,6HOP,0.03,0.12,PD,window456
4MAP,6MAP,0.032,0.123,PD,window456
4MAP,6PEN,0,0.002,PD,window456
4PEN,5CNA,0.069,0.192,PD,window456
4PEN,5EPS,0.188,0.363,PD,window456
4PEN,5FOX,0.164,0.331,PD,window456
4PEN,5HOL,0.905,0.946,PD,window456
4PEN,5HOP,0.664,0.78,PD,window456
4PEN,5MAP,0.052,0.161,PD,window456
4PEN,5PEN,0.773,0.873,PD,window456
4PEN,6CNA,0.98,0.999,PD,window456
4PEN,6EPS,0.542,0.69,PD,window456
4PEN,6FOX,0.145,0.31,PD,window456
4PEN,6HOL,0.339,0.536,PD,window456
4PEN,6HOP,0.167,0.335,PD,window456
4PEN,6MAP,0.279,0.485,PD,window456
4PEN,6PEN,0.262,0.466,PD,window456
5CNA,5EPS,0.522,0.685,PD,window456
5CNA,5FOX,0.547,0.692,PD,window456
5CNA,5HOL,0.024,0.103,PD,window456
5CNA,5HOP,0.094,0.243,PD,window456
5CNA,5MAP,0.988,0.997,PD,window456
5CNA,5PEN,0.009,0.054,PD,window456
5CNA,6CNA,0.065,0.186,PD,window456
5CNA,6EPS,0.345,0.536,PD,window456
5CNA,6FOX,0.97,0.993,PD,window456
5CNA,6HOL,0,0.008,PD,window456
5CNA,6HOP,0.539,0.69,PD,window456
5CNA,6MAP,0.438,0.621,PD,window456
5CNA,6PEN,0.005,0.038,PD,window456
5EPS,5FOX,0.953,0.991,PD,window456
5EPS,5HOL,0.1,0.254,PD,window456
5EPS,5HOP,0.28,0.482,PD,window456
5EPS,5MAP,0.476,0.658,PD,window456
5EPS,5PEN,0.041,0.142,PD,window456
5EPS,6CNA,0.179,0.352,PD,window456
5EPS,6EPS,0.635,0.767,PD,window456
5EPS,6FOX,0.645,0.77,PD,window456
5EPS,6HOL,0.003,0.024,PD,window456
5EPS,6HOP,0.964,0.992,PD,window456
5EPS,6MAP,0.852,0.927,PD,window456
5EPS,6PEN,0.017,0.077,PD,window456
5FOX,5HOL,0.076,0.206,PD,window456
5FOX,5HOP,0.24,0.435,PD,window456
5FOX,5MAP,0.5,0.661,PD,window456
5FOX,5PEN,0.029,0.119,PD,window456
5FOX,6CNA,0.155,0.326,PD,window456
5FOX,6EPS,0.6,0.737,PD,window456
5FOX,6FOX,0.671,0.778,PD,window456
5FOX,6HOL,0.001,0.016,PD,window456
5FOX,6HOP,0.989,0.994,PD,window456
5FOX,6MAP,0.806,0.891,PD,window456
5FOX,6PEN,0.014,0.068,PD,window456
5HOL,5HOP,0.654,0.776,PD,window456
5HOL,5MAP,0.011,0.057,PD,window456
5HOL,5PEN,0.56,0.7,PD,window456
5HOL,6CNA,0.881,0.944,PD,window456
5HOL,6EPS,0.535,0.689,PD,window456
5HOL,6FOX,0.104,0.25,PD,window456
5HOL,6HOL,0.102,0.251,PD,window456
5HOL,6HOP,0.078,0.211,PD,window456
5HOL,6MAP,0.202,0.385,PD,window456
5HOL,6PEN,0.153,0.324,PD,window456
